PROVINCIE;GEMEENTENUMMER;GEMEENTENAAM;SOORT INSTELLING;BRIN NUMMER ACTUEEL;INSTELLINGSNAAM ACTUEEL;CROHO ONDERDEEL;CROHO SUBONDERDEEL;OPLEIDINGSCODE ACTUEEL;OPLEIDINGSNAAM ACTUEEL;OPLEIDINGSVORM;SOORT DIPLOMA;GESLACHT;2017;2018;2019;2020;2021
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34402;B Commerciele Economie;voltijd onderwijs;hbo bachelor;vrouw;9;11;14;13;14
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;man;<5;<5;6;<5;10
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34405;B Communicatie;voltijd onderwijs;hbo bachelor;vrouw;11;7;7;11;15
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;man;8;6;7;<5;8
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);34609;B Human Resource Management;voltijd onderwijs;hbo bachelor;vrouw;15;16;17;23;38
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;man;17;8;20;16;15
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);35520;B Finance & Control;voltijd onderwijs;hbo bachelor;vrouw;<5;6;10;10;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;hbo bachelor;man;0;0;<5;5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);39205;B HBO - Rechten;voltijd onderwijs;hbo bachelor;vrouw;0;0;10;20;24
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;hbo associate degree;man;12;11;13;6;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80080;Ad Ondernemen;voltijd onderwijs;hbo associate degree;vrouw;5;6;13;8;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;man;0;<5;24;22;22
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80103;Ad Commerciele Economie;voltijd onderwijs;hbo associate degree;vrouw;0;0;9;9;9
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80113;Ad Management;voltijd onderwijs;hbo associate degree;man;5;<5;7;<5;<5
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80113;Ad Management;voltijd onderwijs;hbo associate degree;vrouw;27;35;44;31;15
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;hbo associate degree;man;0;0;9;9;11
Flevoland;0034;Almere;reguliere inst.;01VU;Christelijke Hogeschool Windesheim;economie;n.v.t. (economie);80143;Ad Finance;voltijd onderwijs;hbo associate degree;vrouw;0;0;<5;7;<5
